央视频道,#genre#
天津卫视,http://123.14.91.174:8888/hls/25/index.m3u8
天津卫视,http://125.44.164.109:8888/hls/12/index.m3u8
天津卫视,http://27.41.245.32:801/hls/55/index.m3u8
天津卫视,http://122.114.131.154:4018/hls/24/index.m3u8
天津卫视,http://119.39.198.199:808/hls/39/index.m3u8
天津卫视,http://119.39.198.183:808/hls/39/index.m3u8
宁夏卫视,http://27.41.245.32:801/hls/48/index.m3u8
安徽卫视,http://125.46.132.19:8082/hls/31/index.m3u8
安徽卫视,http://123.14.91.174:8888/hls/27/index.m3u8
安徽卫视,http://125.44.164.109:8888/hls/13/index.m3u8
安徽卫视,http://27.41.245.32:801/hls/29/index.m3u8
安徽卫视,http://122.114.131.154:4018/hls/31/index.m3u8
安徽卫视,http://119.39.198.199:808/hls/36/index.m3u8
安徽卫视,http://119.39.198.183:808/hls/36/index.m3u8
山东卫视,http://125.46.132.19:8082/hls/30/index.m3u8
山东卫视,http://123.14.91.174:8888/hls/26/index.m3u8
山东卫视,http://125.44.164.109:8888/hls/14/index.m3u8
山东卫视,http://27.41.245.32:801/hls/51/index.m3u8
山东卫视,http://122.114.131.154:4018/hls/26/index.m3u8
山西卫视,http://125.46.132.19:8082/hls/35/index.m3u8
山西卫视,http://27.41.245.32:801/hls/52/index.m3u8
广东卫视,http://125.46.132.19:8082/hls/38/index.m3u8
广东卫视,http://123.14.91.174:8888/hls/38/index.m3u8
广东卫视,http://122.114.131.154:4018/hls/27/index.m3u8
广东卫视,http://119.39.198.199:808/hls/31/index.m3u8
广东卫视,http://119.39.198.183:808/hls/31/index.m3u8
广西卫视,http://123.14.91.174:8888/hls/39/index.m3u8
广西卫视,http://27.41.245.32:801/hls/34/index.m3u8
广西卫视,http://119.39.198.199:808/hls/32/index.m3u8
广西卫视,http://119.39.198.183:808/hls/32/index.m3u8
新疆卫视,http://27.41.245.32:801/hls/57/index.m3u8
江苏卫视,http://125.46.132.19:8082/hls/37/index.m3u8
江苏卫视,http://123.14.91.174:8888/hls/21/index.m3u8
江苏卫视,http://125.44.164.109:8888/hls/20/index.m3u8
江苏卫视,http://27.41.245.32:801/hls/42/index.m3u8
江苏卫视,http://122.114.131.154:4018/hls/21/index.m3u8
江苏卫视,http://119.39.198.199:808/hls/33/index.m3u8
江苏卫视,http://119.39.198.183:808/hls/33/index.m3u8
江西卫视,http://125.46.132.19:8082/hls/46/index.m3u8
江西卫视,http://123.14.91.174:8888/hls/29/index.m3u8
江西卫视,http://27.41.245.32:801/hls/43/index.m3u8
河北卫视,http://125.46.132.19:8082/hls/36/index.m3u8
河北卫视,http://123.14.91.174:8888/hls/40/index.m3u8
河北卫视,http://27.41.245.32:801/hls/37/index.m3u8
河北卫视,http://122.114.131.154:4018/hls/17/index.m3u8
河南卫视,http://125.46.132.19:8082/hls/18/index.m3u8
河南卫视,http://123.14.91.174:8888/hls/19/index.m3u8
河南卫视,http://125.44.164.109:8888/hls/9/index.m3u8
河南卫视,http://27.41.245.32:801/hls/38/index.m3u8
浙江卫视,http://125.46.132.19:8082/hls/28/index.m3u8
浙江卫视,http://123.14.91.174:8888/hls/22/index.m3u8
浙江卫视,http://125.44.164.109:8888/hls/10/index.m3u8
浙江卫视,http://27.41.245.32:801/hls/58/index.m3u8
浙江卫视,http://122.114.131.154:4018/hls/20/index.m3u8
浙江卫视,http://119.39.198.199:808/hls/30/index.m3u8
浙江卫视,http://119.39.198.183:808/hls/30/index.m3u8
海南卫视,http://27.41.245.32:801/hls/36/index.m3u8
深圳卫视,http://125.46.132.19:8082/hls/33/index.m3u8
深圳卫视,http://123.14.91.174:8888/hls/28/index.m3u8
深圳卫视,http://125.44.164.109:8888/hls/16/index.m3u8
深圳卫视,http://122.114.131.154:4018/hls/25/index.m3u8
深圳卫视,http://119.39.198.199:808/hls/29/index.m3u8
深圳卫视,http://119.39.198.183:808/hls/29/index.m3u8
湖北卫视,http://125.46.132.19:8082/hls/40/index.m3u8
湖北卫视,http://123.14.91.174:8888/hls/30/index.m3u8
湖北卫视,http://125.44.164.109:8888/hls/15/index.m3u8
湖北卫视,http://119.39.198.199:808/hls/35/index.m3u8
湖北卫视,http://119.39.198.183:808/hls/35/index.m3u8
湖南卫视,http://125.46.132.19:8082/hls/29/index.m3u8
湖南卫视,http://123.14.91.174:8888/hls/20/index.m3u8
湖南卫视,http://125.44.164.109:8888/hls/19/index.m3u8
湖南卫视,http://27.41.245.32:801/hls/27/index.m3u8
湖南卫视,http://122.114.131.154:4018/hls/19/index.m3u8
湖南卫视,http://119.39.198.199:808/hls/27/index.m3u8
湖南卫视,http://119.39.198.183:808/hls/27/index.m3u8
甘肃卫视,http://27.41.245.32:801/hls/33/index.m3u8
西藏卫视,http://27.41.245.32:801/hls/56/index.m3u8
贵州卫视,http://123.14.91.174:8888/hls/34/index.m3u8
贵州卫视,http://27.41.245.32:801/hls/35/index.m3u8
辽宁卫视,http://125.46.132.19:8082/hls/42/index.m3u8
辽宁卫视,http://123.14.91.174:8888/hls/35/index.m3u8
辽宁卫视,http://122.114.131.154:4018/hls/30/index.m3u8
辽宁卫视,http://119.39.198.199:808/hls/37/index.m3u8
辽宁卫视,http://119.39.198.183:808/hls/37/index.m3u8
